IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
SAL,IN200464,257,MICORMIG 350,3.0,sal strappi pulire est.,,,,ALESSANDRO,15/10/2021 13:24:22,15/10/2021 13:25:05,,,,,,
SAL,6745096,258,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,15/10/2021 13:25:21,15/10/2021 13:25:35,,,,,,
SAL,615460,260,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,15/10/2021 14:47:09,15/10/2021 14:47:45,,,,,,
SAL,FNX2284160,265,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,15/10/2021 15:27:27,15/10/2021 15:27:41,,,,,,
SAL,IV26295,269,MICORMIG 350,1.8,sal angoli e pulire sal prigionieri con sagoma,,,,ALESSANDRO,18/10/2021 17:43:47,18/10/2021 17:44:57,,,,,,
SAL,FNX2285832,270,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,19/10/2021 08:20:27,19/10/2021 08:20:42,,,,,,
SAL,FNX0258285,271,T110 TIG,prog. 13 . 70,sal strappi,,,,ALESSANDRO,19/10/2021 10:41:50,02/12/2021 11:46:25,,,,,,
SAL,FNX0257797,272,MICORMIG 350,3.0,sal tratti pulire est,,,,ALESSANDRO,19/10/2021 17:39:36,19/10/2021 17:40:09,,,,,,
SAL,FNX0257261,273,MICORMIG 350,3.0,sal tratti pulire est,,,,ALESSANDRO,19/10/2021 17:40:30,19/10/2021 17:40:42,,,,,,
SAL,FNZ0201853,274,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,20/10/2021 08:54:47,20/10/2021 08:55:02,,,,,,
SAL,40005912,276,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,20/10/2021 13:19:09,20/10/2021 13:20:12,,,,,,
SAL,3401681,278,MICORMIG 350,120,sal stagno pulire etsr.,,,,ALESSANDRO,22/10/2021 08:10:30,22/10/2021 08:10:40,,,,,,
SAL,3401691,279,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,22/10/2021 08:10:51,22/10/2021 08:11:03,,,,,,
SAL,3401701,280,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,22/10/2021 08:11:12,22/10/2021 08:11:21,,,,,,
SAL,FNZ0202421,284,T110 TIG,programma 1 corrente 220,sald angolo interno,,,,ALESSANDRO,22/10/2021 11:52:44,22/10/2021 11:53:36,,,,,,
